Controller,AverageMSE_rad2,AverageRMSE_rad,AverageMeanAbsTorque_Nm,AverageMaxAbsTorque_Nm
GWO-PID,0.327119340914236,0.40654805546831,169961.520413176,129.877716106637
GWO-FOPID,0.174489695993364,0.3125486649263,142836.57565625,99.7257946601823
