Joint,Controller,MSE_rad2,RMSE_rad,MeanAbsError_rad,MaxAbsError_rad,MeanAbsTorque_Nm,MaxAbsTorque_Nm
1,PID,0.590939421221422,0.768725842691282,0.595801082219407,1.65418345199111,267767.943959943,250
2,PID,0.299574925024114,0.547334381364915,0.446198221080545,1.198790479306,180339.854980878,183.524667006197
3,PID,0.0811283930395709,0.284830463678959,0.232152553280448,0.647427672638156,74587.631109882,85.5548704851796
4,PID,0.0254901173573818,0.159656247473695,0.130751833326093,0.366360500358893,28287.3401072933,33.1363970640561
5,PID,0.0199056811175845,0.141087494547123,0.106584801646046,0.451946821309309,15089.9077542442,31.9269322164769
6,PID,0.000991726568387305,0.0314916904656975,0.0242380905194402,0.0944844842227598,1890.00198647463,3.16361221156101
1,FOPID,0.324866752089675,0.569970834420214,0.446015927800408,1.1686238530987,196838.553560219,227.801261192771
2,FOPID,0.477564298555926,0.691060271290374,0.547698737885435,1.51797335169986,190826.918051859,198.034218452804
3,FOPID,0.0975526868848674,0.312334255061572,0.233968387624343,0.69784997911723,67020.1019364585,76.2106582362189
4,FOPID,0.0265927354848894,0.16307279198226,0.140561733023184,0.293764978564606,26400.5933365414,25.0100034925201
5,FOPID,0.0148438425484446,0.121835309120323,0.0981248033991007,0.292027398892098,13672.6698987514,26.733527184737
6,FOPID,0.000807723285342158,0.0284204729964538,0.0235928418879662,0.0665057280815189,1605.66949112094,2.86977889547555
