Controller,AverageMSE_rad2,AverageRMSE_rad,AverageMeanAbsTorque_Nm,AverageMaxAbsTorque_Nm
PID,0.0335603390650718,0.127860501112393,32371.9865386487,27.6782191760106
FOPID,0.0337931220783817,0.129614890632378,32632.5809449252,30.0631771442002
