Joint,Controller,MSE_rad2,RMSE_rad,MeanAbsError_rad,MaxAbsError_rad,MeanAbsTorque_Nm,MaxAbsTorque_Nm
1,GWO-PID,0.182988601837979,0.427771670214355,0.377941939908993,0.691812007036654,103696.4322543,73.7358512426379
2,GWO-PID,0.57988515038161,0.761501904384756,0.646426877791995,1.47902574130955,455231.914563324,250
3,GWO-PID,0.060564603024614,0.246098766808398,0.21797009034888,0.495535183613013,220129.613896467,130.158104753299
4,GWO-PID,0.00293051995758326,0.0541342771040979,0.0459113560326517,0.118631458881011,15608.9516648883,12.8423695875805
5,GWO-PID,0.146843320654022,0.383201410036578,0.297136856173086,0.828101080245361,5467.53110669937,4.9230988908033
6,GWO-PID,0.00383352842496781,0.0619154942237224,0.0543450428944055,0.113693689846497,1006.7816977531,2.04663384037446
1,GWO-FOPID,0.134246353336912,0.366396442855157,0.319025906566822,0.661722592997606,97758.7693330246,105.06702906837
2,GWO-FOPID,0.767791664808684,0.87623721948379,0.740238514488785,1.74995282848019,462232.288333427,250
3,GWO-FOPID,0.126614241023284,0.355828949107972,0.304534145023484,0.669351071886569,233011.662121306,135.165798613942
4,GWO-FOPID,0.299608914636884,0.547365430619147,0.459258617837412,0.926844690030057,29434.5457928492,21.8816094762374
5,GWO-FOPID,0.377107911116133,0.614091126068545,0.497404283192675,1.64594314875071,9323.67102799807,8.82564295242362
6,GWO-FOPID,0.000357037752893335,0.01889544264878,0.0143983716065891,0.0579948498838543,1147.23668749789,2.48398256651421
