Controller,AverageOvershoot_percent,AverageSettlingTime_s,AveragePeakTime_s,AverageAbsTorque_Nm
GWO-PID,35.501860894056,3.02303889379239,1.866,100605.2213631
GWO-FOPID,45.6322749340196,3.12144503632544,1.80833333333333,101651.772635203
