Controller,AverageOvershoot_percent,AverageSettlingTime_s,AveragePeakTime_s,AverageAbsTorque_Nm
PID,50.8229691390437,3.16390803165156,1.88066666666667,100415.801775665
FOPID,11.6589402629115,2.75145078621498,3.78066666666667,103360.65015568
